CODE,cat
NAME,Català
FIF_DESC,Troba i organitza els teus objectes
FIF_SET_DM,Desactivar registre de missatges de depuració
FIF_SET_DMTP,"Quan activat, els missatges de depuració no es registraran"
FIF_SET_CMT,Centrar la barra d'eines
FIF_SET_CMTTP,La barra d'eines se centrarà si excedeix certa llargada
FIF_SET_UL,Desbloquejar-ho tot
FIF_SET_ULTP,Permet seleccionar i col·locar elements bloquejats
FIF_SET_BP,Reparar objectes a la propera obertura
FIF_SET_BPTP,Eliminar tots els fitxers conflicius. Seleccionar la opció i reinicia la partida
FIF_SE_WF,Personalitzats
FIF_SE_VF,Originals
FIF_SE_IA,Tot
FIF_SE_IN,Network
FIF_SE_IP,Ploppable
FIF_SE_IG,Growable
FIF_SE_IR,RICO
FIF_SE_IPR,Prop
FIF_SE_ID,Decal
FIF_SE_IT,Árboles
FIF_SE_LV,Building Level
FIF_SE_SZ,Size:
FIF_SE_SC,Mantén SHIFT o CTRL para seleccionar múltiples categorías
FIF_PLOP_E,Electricidad
FIF_PLOP_W,Agua/Drenaje
FIF_PLOP_G,Basura
FIF_PLOP_H,Salud
FIF_PLOP_F,Bomberos
FIF_PLOP_P,Policia
FIF_PLOP_ED,Educación
FIF_PLOP_PT,Transporte Público
FIF_PLOP_PPW,Parques/Plazas/Vida Salvaje
FIF_PLOP_U,Edificios Únicos
FIF_PLOP_I,Industria
FIF_PLOP_D,Desastres
FIF_PLOP_C,Campus
FIF_PLOP_V,Deportes Universitarios
FIF_PLOP_FI,Pesca
FIF_GR_LDR,Residencial Baja Densidad
FIF_GR_HDR,Residencial Alta Densidad
FIF_GR_LDRE,Residencial Ecológico Baja Densidad
FIF_GR_HDRE,Residencial Ecológico Alta Densidad
FIF_GR_LDC,Comercial Baja Densidad
FIF_GR_HDC,Comercial Alta Densidad
FIF_GR_CE,Comercial Ecológico
FIF_GR_O,Oficina
FIF_GR_ITC,Grupo TI
FIF_GR_GI,Industria Genérica
FIF_GR_FAI,Industria Agrícola
FIF_GR_FOI,Industria Forestal
FIF_GR_OII,Industria Petrolera
FIF_GR_ORI,Industria Minera
FIF_GR_LC,Comerç d'Oci
FIF_GR_TC,Comercio Turístico
FIF_SO_RETP,Ordenar por relevancia. Igual Find it original
FIF_SO_NETP,Ordenar por descarga mas recientemente
FIF_SO_RE,
FIF_SO_NE,
TRN_CHOICE,
TRN_SYS,Usar idioma sistema
FIF_PROP_IND,Industrial
FIF_PROP_PAR,Parcs
FIF_PROP_COM,Comú
FIF_PROP_RES,Residencial
FIF_PROP_BIL,
FIF_PROP_SPE,
FIF_PROP_LIG,
FIF_PROP_NAT,
FIF_PROP_UNS,
FIF_SET_KS,
FIF_SE_IGR,Grwb/RICO
FIF_SET_CTFL,
FIF_SET_CTFOP,
FIF_SE_SCTP,
FIF_POP_SCR,
FIF_POP_CON,
FIF_POP_CAN,
FIF_POP_NU,
FIF_CO_TIT,
FIF_CO_MSG,
FIF_CO_CH,
FIF_CO_CHTP,
FIF_CO_CHLBL,
FIF_CO_NELBL,
FIF_DE_TIT,
FIF_DE_MSG,
FIF_RE_TIT,
FIF_RE_MSG,
FIF_RE_ITP,
FIF_RE_ELBL,
FIF_RE_NEWLBL,
FIF_RE_SLBL,
FIF_RE_AELBL,
FIF_CT_TIT,
FIF_CT_DDMSG,
FIF_CT_DDTP,
FIF_CT_ILBL1,O
FIF_CT_ILBL2,
FIF_CT_ITP,
FIF_SET_CTLS,
FIF_TAG_DDTP,
FIF_TAG_REF,
FIF_TAG_REFTP,
FIF_TAG_REN,
FIF_TAG_RENTP,
FIF_TAG_COM,
FIF_TAG_COMTP,
FIF_TAG_DEL,
FIF_TAG_DELTP,
FIF_UIS_WS,
FIF_TREE_SM,
FIF_TREE_MD,
FIF_TREE_LG,
FIF_TAG_BAT,
FIF_TAG_BAC,
FIF_TAG_ADD,
FIF_TAG_ADDTP,
FIF_TAG_REM,
FIF_TAG_REMTP,
FIF_TAG_CLE,
FIF_TAG_CLETP,
FIF_ADD_TIT,
FIF_ADD_NUM,
FIF_ADD_ADD,
FIF_ADD_CHTP,
