"CODE","de"
"NAME","Deutsch"
"FIF_DESC","Gegenstände organisieren und finden"
"FIF_SET_DM","Debug-Protokoll deaktivieren"
"FIF_SET_DMTP","Wenn aktiviert, werden Debug-Nachrichten nicht protokolliert."
"FIF_SET_CMT","Haupt-Toolbar zentrieren"
"FIF_SET_CMTTP","Haupt-Toolbar wird ab einer bestimmten Länge zentriert"
"FIF_SET_UL","Alles entsperren"
"FIF_SET_ULTP","Items auswählen und platzieren, selbst wenn sie gesperrt sind."
"FIF_SET_BP","Requisiten-Fehler beim nächsten Laden beheben"
"FIF_SET_BPTP","Alle Requisiten mit Problemen entfernen. Aktivieren und Spielstand laden"
"FIF_SE_WF","Custom"
"FIF_SE_VF","Vanilla"
"FIF_SE_IA","Alle"
"FIF_SE_IN","Netzwerke"
"FIF_SE_IP","Ploppable"
"FIF_SE_IG","Growable"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","Requisiten"
"FIF_SE_ID","Decal"
"FIF_SE_IT","Bäume"
"FIF_SE_LV","Building Level"
"FIF_SE_SZ","Größe:"
"FIF_SE_SC","SHIFT oder STRG halten für Mehrfachauswahl"
"FIF_PLOP_E","Strom"
"FIF_PLOP_W","Wasser/Abwasser"
"FIF_PLOP_G","Abfallwirtschaft"
"FIF_PLOP_H","Gesundheit"
"FIF_PLOP_F","Feuerwehr"
"FIF_PLOP_P","Polizei"
"FIF_PLOP_ED","Bildung"
"FIF_PLOP_PT","Öffentlicher Nahverkehr"
"FIF_PLOP_PPW","Parks/Plätze/Natur"
"FIF_PLOP_U","Einzigartige Gebäude"
"FIF_PLOP_I","Industrie"
"FIF_PLOP_D","Katastrophen"
"FIF_PLOP_C","Universitätsgelände"
"FIF_PLOP_V","Universitätssport"
"FIF_PLOP_FI","Fischerei"
"FIF_GR_LDR","Gering besiedeltes Wohngebiet"
"FIF_GR_HDR","Dicht besiedeltes Wohngebiet"
"FIF_GR_LDRE","Selbstvers. Wohngebiet geringer Dichte"
"FIF_GR_HDRE","Selbstvers. Wohngebiet hoher Dichte"
"FIF_GR_LDC","Gering besiedeltes Gewerbegebiet "
"FIF_GR_HDC","Dicht besiedeltes Gewerbegebiet "
"FIF_GR_CE","Gewerbe mit biol., lokaler Produktion"
"FIF_GR_O","Bürogebiet"
"FIF_GR_ITC","IT-Cluster"
"FIF_GR_GI","Allgemeine Industrie"
"FIF_GR_FAI","Agrarindustrie"
"FIF_GR_FOI","Forstindustrie"
"FIF_GR_OII","Ölindustrie"
"FIF_GR_ORI","Erzindustrie"
"FIF_GR_LC","Freizeitgewerbe"
"FIF_GR_TC","Tourismusgewerbe"
"FIF_SO_RETP","Relevanteste zuerst. Wie ursprüngliches Find It"
"FIF_SO_NETP","Neueste zuerst"
"FIF_SO_RE","Relevanz"
"FIF_SO_NE","Recent DLs"
"TRN_CHOICE","Sprache wählen (Wird beim nächsten Start aktiviert)"
"TRN_SYS","Systemsprache verwenden"
"FIF_PROP_IND","Industrie"
"FIF_PROP_PAR","Parks"
"FIF_PROP_COM","Gewerbe"
"FIF_PROP_RES","Wohnen"
"FIF_PROP_BIL","Werbetafeln"
"FIF_PROP_SPE","Besondere Werbetafeln"
"FIF_PROP_LIG","Lichter"
"FIF_PROP_NAT","Natur"
"FIF_PROP_UNS","Unsortiert"
"FIF_SET_KS","Main Keyboard Shortcut"
"FIF_SE_IGR","Grwb/RICO"
"FIF_SET_CTFL","Custom Tags File Location (Remember to back up this file periodically)"
"FIF_SET_CTFOP","Im Datei-Explorer anzeigen"
"FIF_SE_SCTP","Show custom tag panel"
"FIF_POP_SCR","Mit Mausrad scrollen"
"FIF_POP_CON","bestätigen"
"FIF_POP_CAN","Abbrechen"
"FIF_POP_NU","Dies kann nicht rückgängig gemach werden."
"FIF_CO_TIT","Merge"
"FIF_CO_MSG","Choose an existing tag to merge with."
"FIF_CO_CH","Choose"
"FIF_CO_CHTP","Merge with this existing tag"
"FIF_CO_CHLBL","Merge with: "
"FIF_CO_NELBL","Please choose an existing tag"
"FIF_DE_TIT","Löschen"
"FIF_DE_MSG","Dieses Tag wirklich löschen?"
"FIF_RE_TIT","Umbenennen"
"FIF_RE_MSG","Type a new tag name and press Enter."
"FIF_RE_ITP","Press enter to submit new tag name"
"FIF_RE_ELBL","Please enter a new tag name"
"FIF_RE_NEWLBL","New Tag Name: "
"FIF_RE_SLBL","This tag name is too short"
"FIF_RE_AELBL","This tag already exists"
"FIF_CT_TIT","Custom Tags"
"FIF_CT_DDMSG","Add an existing tag to this asset:"
"FIF_CT_DDTP","Add an existing tag to this asset"
"FIF_CT_ILBL1","oder"
"FIF_CT_ILBL2","Type a new tag name and press Enter:"
"FIF_CT_ITP","Press enter to add new tag(s)"
"FIF_SET_CTLS","Sort custom tag list alphabetically"
"FIF_TAG_DDTP","Only show assets with this tag"
"FIF_TAG_REF","Neu laden"
"FIF_TAG_REFTP","Refresh custom tag drop-down list"
"FIF_TAG_REN","Umbenennen"
"FIF_TAG_RENTP","Rename this tag"
"FIF_TAG_COM","Merge"
"FIF_TAG_COMTP","Merge this tag with another tag"
"FIF_TAG_DEL","löschen"
"FIF_TAG_DELTP","Dieses Tag löschen"
"FIF_UIS_WS","Right click to view this asset on Steam Workshop"
"FIF_TREE_SM","Small Trees"
