"CODE","fr"
"NAME","Français"
"FIF_DESC","Trouvez et organisez vos assets"
"FIF_SET_DM","Désactiver la journalisation des messages de débogage"
"FIF_SET_DMTP","Si coché, les messages de débogage ne seront pas enregistrés."
"FIF_SET_CMT","Centrer la barre d'outils principale"
"FIF_SET_CMTTP","La barre d'outils principale sera centrée si elle dépasse une certaine longueur."
"FIF_SET_UL","Tout débloquer"
"FIF_SET_ULTP","Vous permet de sélectionner et de placer des éléments même lorsqu'ils sont verrouillés."
"FIF_SET_BP","Correction des mauvais accessoires lors de la prochaine sauvegarde"
"FIF_SET_BPTP","Supprimer tous les props causant des problèmes. Cochez l'option et chargez votre sauvegarde"
"FIF_SE_WF","Custom"
"FIF_SE_VF","Vanilla"
"FIF_SE_IA","Tout"
"FIF_SE_IN","Réseau"
"FIF_SE_IP","Ploppable"
"FIF_SE_IG","Croissant"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","Accessoire"
"FIF_SE_ID","Décalque"
"FIF_SE_IT","Arbre"
"FIF_SE_LV","Niveau du bâtiment"
"FIF_SE_SZ","Taille : "
"FIF_SE_SC","Maintenez MAJ ou CTRL pour sélectionner plusieurs catégories"
"FIF_PLOP_E","Électricité"
"FIF_PLOP_W","Eau/Eaux usées"
"FIF_PLOP_G","Déchets"
"FIF_PLOP_H","Santé"
"FIF_PLOP_F","Pompiers"
"FIF_PLOP_P","Police"
"FIF_PLOP_ED","Éducation"
"FIF_PLOP_PT","Transports"
"FIF_PLOP_PPW","Parc / Place / Faune"
"FIF_PLOP_U","Bâtiments uniques"
"FIF_PLOP_I","Industrie"
"FIF_PLOP_D","Catastrophe"
"FIF_PLOP_C","Campus"
"FIF_PLOP_V","Sports universitaires"
"FIF_PLOP_FI","Pêche"
"FIF_GR_LDR","Résidentiel de faible densité"
"FIF_GR_HDR","Résidentiel de densité élevée"
"FIF_GR_LDRE","Résidentiel écologique de faible densité"
"FIF_GR_HDRE","Résidentiel écologique de densité élevée"
"FIF_GR_LDC","Commercial de faible densité"
"FIF_GR_HDC","Commercial de densité élevée"
"FIF_GR_CE","Commercial écologique"
"FIF_GR_O","Bureaux"
"FIF_GR_ITC","Spécialisation informatique"
"FIF_GR_GI","Industrie générique"
"FIF_GR_FAI","Industrie agricole"
"FIF_GR_FOI","Industrie forestière"
"FIF_GR_OII","Industrie pétrolière"
"FIF_GR_ORI","Industrie minière"
"FIF_GR_LC","Commercial de divertissement"
