"CODE","it"
"NAME","Italiano"
"FIF_DESC","Trova e organizza i tuoi asset"
"FIF_SET_DM","Disattiva il registro dei messaggi di debug"
"FIF_SET_DMTP","Se attivato, i messaggi di debug non saranno registrati."
"FIF_SET_CMT","Centra la barra principale"
"FIF_SET_CMTTP","La barra principale sarà centrata se supera una certa lunghezza."
"FIF_SET_UL","Sblocca tutto"
"FIF_SET_ULTP","Permette di selezionare e posizionare oggetti anche se bloccati."
"FIF_SET_BP","Sistema oggetti danneggati al prossimo caricamento"
"FIF_SET_BPTP","Rimuovi tutti gli oggetti problematici. Attiva l'opzione e ricarica il salvataggio."
"FIF_SE_WF","Custom"
"FIF_SE_VF","Vanilla"
"FIF_SE_IA","Tutto"
"FIF_SE_IN","Network"
"FIF_SE_IP","Ploppable"
"FIF_SE_IG","Growable"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","Prop"
"FIF_SE_ID","Decal"
"FIF_SE_IT","Albero"
"FIF_SE_LV","Livello Edificio"
"FIF_SE_SZ","Dimensione:"
"FIF_SE_SC","Premi SHIFT o CTRL per selezionare più categorie"
"FIF_PLOP_E","Elettricità"
"FIF_PLOP_W","Acqua/Fognature"
"FIF_PLOP_G","Rifiuti"
"FIF_PLOP_H","Sanità"
"FIF_PLOP_F","Pompieri"
"FIF_PLOP_P","Polizia"
"FIF_PLOP_ED","Educazione"
"FIF_PLOP_PT","Trasporti Pubblici"
"FIF_PLOP_PPW","Parchi/Piazze/Fauna"
"FIF_PLOP_U","Edifici Unici"
"FIF_PLOP_I","Industria"
"FIF_PLOP_D","Disastri"
"FIF_PLOP_C","Campus"
"FIF_PLOP_V","Sport Universitari"
"FIF_PLOP_FI","Pesca"
"FIF_GR_LDR","Residenziale Bassa Densità"
"FIF_GR_HDR","Residenziale Alta Densità"
"FIF_GR_LDRE","Residenziale Bassa Densità ECO"
"FIF_GR_HDRE","Residenziale Alta Densità ECO"
"FIF_GR_LDC","Commerciale Bassa Densità"
"FIF_GR_HDC","Commerciale Alta Densità"
"FIF_GR_CE","Commerciale ECO"
"FIF_GR_O","Uffici"
"FIF_GR_ITC","Cluster Tecnologici"
"FIF_GR_GI","Industria Generica"
"FIF_GR_FAI","Industria Agricola"
"FIF_GR_FOI","Industria Forestale"
"FIF_GR_OII","Industria Petrolifera"
"FIF_GR_ORI","Industria Mineraria"
"FIF_GR_LC","Commerciale Ricreativo"
"FIF_GR_TC","Commerciale Turismo"
"FIF_SO_RETP","Elenca per Rilevanza. Come nel Find It originale"
"FIF_SO_NETP","Elenca per Download più recente"
"FIF_SO_RE","Rilevanza"
"FIF_SO_NE","DL Recenti"
"TRN_CHOICE","Seleziona lingua (attivo alla prossima partita)"
"TRN_SYS","Usa lingua di sistema"
"FIF_PROP_IND","Industriale"
"FIF_PROP_PAR","Parchi"
"FIF_PROP_COM","Comune"
"FIF_PROP_RES","Residenziale"
"FIF_PROP_BIL","Cartelloni"
"FIF_PROP_SPE","Cartelloni Speciali"
"FIF_PROP_LIG","Luci"
"FIF_PROP_NAT","Naturale"
"FIF_PROP_UNS","Altro"
"FIF_SET_KS","Main Keyboard Shortcut"
"FIF_SE_IGR","Grwb/RICO"
"FIF_SET_CTFL","Posizione dei file delle etichette personalizzate (Ricorda di eseguire spesso il backup)"
"FIF_SET_CTFOP","Mostra nel File Explorer"
"FIF_SE_SCTP","Mostra pannello delle etichette"
"FIF_POP_SCR","Usa la rotella del mouse per salire/scendere"
"FIF_POP_CON","Conferma"
"FIF_POP_CAN","Cancella"
"FIF_POP_NU","Questo non può essere annullato"
"FIF_CO_TIT","Unisci"
"FIF_CO_MSG","Scegli una etichetta esistente da unire"
"FIF_CO_CH","Scegli"
"FIF_CO_CHTP","Unisci con etichetta esistente"
"FIF_CO_CHLBL","Unisci con:"
"FIF_CO_NELBL","Scegli una etichetta esistente"
"FIF_DE_TIT","Cancella"
"FIF_DE_MSG","Sei sicuro di voler cancellare questa etichetta?"
"FIF_RE_TIT","Rinomina"
"FIF_RE_MSG","Scrivi un nuovo nome di etichetta e premi Invio."
"FIF_RE_ITP","Premi Invio per aggiungere un nuovo nome di etichetta"
"FIF_RE_ELBL","Scrivi un nuovo nome di etichetta"
"FIF_RE_NEWLBL","Nuovo nome di etichetta:"
"FIF_RE_SLBL","Il nome di questa etichetta è troppo corto"
"FIF_RE_AELBL","Questa etichetta esiste già"
"FIF_CT_TIT","Etichette Personalizzate"
"FIF_CT_DDMSG","Aggiungi etichetta esistente a questo asset:"
"FIF_CT_DDTP","Aggiungi etichetta esistente a questo asset"
"FIF_CT_ILBL1","O"
"FIF_CT_ILBL2","Scrivi il nuovo nome dell'etichetta e premi Invio:"
"FIF_CT_ITP","Premi invio per aggiungere nuova/e etichetta/e"
"FIF_SET_CTLS","Ordina la lista delle etichette personalizzate alfabeticamente"
"FIF_TAG_DDTP","Mostra solo gli asset con questa etichetta"
"FIF_TAG_REF","Ricarica"
"FIF_TAG_REFTP","Ricarica il menù a tendina delle etichette personalizzate"
"FIF_TAG_REN","Rinomina"
"FIF_TAG_RENTP","Rinomina l'etichetta"
"FIF_TAG_COM","Unisci"
"FIF_TAG_COMTP","Unisci questa etichetta con un'altra"
"FIF_TAG_DEL","Cancella"
"FIF_TAG_DELTP","Cancella questa etichetta"
"FIF_UIS_WS","Click destro per vedere l'asset nel Workshop di Steam"
"FIF_TREE_SM","Alberi Piccoli"
"FIF_TREE_MD","Alberi Medi"
"FIF_TREE_LG","Alberi Grandi"
"FIF_TAG_BAT","Gruppo"
"FIF_TAG_BAC","Indietro"
"FIF_TAG_ADD","Aggiungi"
