"CODE","ja"
"NAME","日本語"
"FIF_DESC","アセットの検索や整理をしましょう"
"FIF_SET_DM","デバッグメッセージのログを無効化"
"FIF_SET_DMTP","これをチェックすると、デバッグメッセージが保存されません"
"FIF_SET_CMT","メインツールバーをセンタリング"
"FIF_SET_CMTTP","メインツールバーが、一定の長さを超えるとセンタリングします"
"FIF_SET_UL","全てをアンロック"
"FIF_SET_ULTP","まだアンロックされていないアイテム類を選択して配置可能です"
"FIF_SET_BP","ロード時に問題のあるPropを修正"
"FIF_SET_BPTP","問題のある全てのPropを削除します。オプションをチェックして、セーブデータをロードしてください"
"FIF_SE_WF","カスタム"
"FIF_SE_VF","バニラ"
"FIF_SE_IA","全て"
"FIF_SE_IN","ネットワーク"
"FIF_SE_IP","Ploppable"
"FIF_SE_IG","Growable"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","Prop"
"FIF_SE_ID","デカール"
"FIF_SE_IT","ツリー"
"FIF_SE_LV","建物レベル"
"FIF_SE_SZ","サイズ: "
"FIF_SE_SC","SHIFTかCTRLを押して選択すると、複数のカテゴリーから選べます"
"FIF_PLOP_E","電力"
"FIF_PLOP_W","上下水道"
"FIF_PLOP_G","ゴミ"
"FIF_PLOP_H","医療"
"FIF_PLOP_F","消防"
"FIF_PLOP_P","警察"
"FIF_PLOP_ED","教育"
"FIF_PLOP_PT","公共交通"
"FIF_PLOP_PPW","公園"
"FIF_PLOP_U","ユニーク施設"
"FIF_PLOP_I","産業"
"FIF_PLOP_D","災害"
"FIF_PLOP_C","キャンパス"
"FIF_PLOP_V","大学スポーツ"
"FIF_PLOP_FI","漁業"
"FIF_GR_LDR","低密度住宅"
"FIF_GR_HDR","高密度住宅"
"FIF_GR_LDRE","低密度 ECO住宅"
"FIF_GR_HDRE","高密度 ECO住宅"
"FIF_GR_LDC","低密度商業"
"FIF_GR_HDC","高密度商業"
"FIF_GR_CE","オーガニック・地産地消"
"FIF_GR_O","オフィス"
"FIF_GR_ITC","ITクラスター"
"FIF_GR_GI","通常産業"
"FIF_GR_FAI","農業"
"FIF_GR_FOI","林業"
"FIF_GR_OII","石油業"
"FIF_GR_ORI","鉱業"
"FIF_GR_LC","レジャー特化"
"FIF_GR_TC","観光特化"
"FIF_SO_RETP","関連性で並べ替え(元のFind It!と同じ)"
"FIF_SO_NETP","最近DLしたもので並べ替え"
"FIF_SO_RE","関連性"
"FIF_SO_NE","最近のDL"
"TRN_CHOICE","言語の設定 (再起動が必要)"
"TRN_SYS","システム言語を使用"
"FIF_PROP_IND","産業"
"FIF_PROP_PAR","公園"
"FIF_PROP_COM","一般"
"FIF_PROP_RES","住宅"
"FIF_PROP_BIL","ビルボード"
"FIF_PROP_SPE","特別なビルボード"
"FIF_PROP_LIG","ライト"
"FIF_PROP_NAT","自然"
"FIF_PROP_UNS","未分類"
"FIF_SET_KS","主なキーボードショートカット"
"FIF_SE_IGR","Grwb/RICO"
"FIF_SET_CTFL","カスタムタグファイルの保存場所 (定期的なバックアップを推奨)"
"FIF_SET_CTFOP","エクスプローラで開く"
"FIF_SE_SCTP","カスタムタグのパネルを表示"
"FIF_POP_SCR","マウスホイールを使用してスクロール"
"FIF_POP_CON","確認"
"FIF_POP_CAN","キャンセル"
"FIF_POP_NU","この操作は元に戻せません！"
"FIF_CO_TIT","マージ"
"FIF_CO_MSG","マージする既存のタグを選択"
"FIF_CO_CH","選択"
"FIF_CO_CHTP","この既存のタグとマージ"
"FIF_CO_CHLBL","マージの対象: "
"FIF_CO_NELBL","既存のタグを選択"
"FIF_DE_TIT","削除"
"FIF_DE_MSG","このタグを削除してもよろしいですか？"
"FIF_RE_TIT","名前変更"
"FIF_RE_MSG","新しいタグ名を入力し、Enterを押します"
"FIF_RE_ITP","Enterを押して、新しいタグ名を作成します"
"FIF_RE_ELBL","新しいタグ名を入力してください"
"FIF_RE_NEWLBL","新しいタグ名: "
"FIF_RE_SLBL","このタグ名は短すぎます"
