"CODE","ko"
"NAME","한국어"
"FIF_DESC","자산 정리 및 찾기"
"FIF_SET_DM","디버그 메시지 기록 비활성화"
"FIF_SET_DMTP","선택하면 디버그 메시지가 기록되지 않습니다."
"FIF_SET_CMT","중앙 메인 툴바"
"FIF_SET_CMTTP","메인 툴바가 일정 길이를 넘어서면 중앙으로 합니다."
"FIF_SET_UL","모두 잠금해제"
"FIF_SET_ULTP","잠긴 상태에서도 아이템을 선택하고 배치할 수 있게 합니다."
"FIF_SET_BP","다음 불러올 때 잘못된 프롭 고치기"
"FIF_SET_BPTP","문제를 유발하는 모든 프롭을 제거합니다. 옵션을 체크하고 세이브를 불러오세요"
"FIF_SE_WF","커스텀"
"FIF_SE_VF","바닐라"
"FIF_SE_IA","모두"
"FIF_SE_IN","네트워크"
"FIF_SE_IP","Ploppable"
"FIF_SE_IG","Growable"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","프롭"
"FIF_SE_ID","데칼"
"FIF_SE_IT","나무"
"FIF_SE_LV","건물 레벨"
"FIF_SE_SZ","크기: "
"FIF_SE_SC","SHIFT 또는 CTRL을 누른 상태로 카테고리 중복 선택"
"FIF_PLOP_E","전기"
"FIF_PLOP_W","수도/하수"
"FIF_PLOP_G","쓰레기"
"FIF_PLOP_H","의료"
"FIF_PLOP_F","소방"
"FIF_PLOP_P","경찰"
"FIF_PLOP_ED","교육"
"FIF_PLOP_PT","대중교통"
"FIF_PLOP_PPW","공원/광장/자연"
"FIF_PLOP_U","고유 건물"
"FIF_PLOP_I","산업"
"FIF_PLOP_D","재해"
"FIF_PLOP_C","캠퍼스"
"FIF_PLOP_V","대학 스포츠"
"FIF_PLOP_FI","낚시"
"FIF_GR_LDR","저밀도 주거"
"FIF_GR_HDR","고밀도 주거"
"FIF_GR_LDRE","저밀도 주거 ECO"
"FIF_GR_HDRE","고밀도 주거 ECO"
"FIF_GR_LDC","저밀도 상업"
"FIF_GR_HDC","고밀도 상업"
"FIF_GR_CE","상업 ECO"
"FIF_GR_O","사무"
"FIF_GR_ITC","IT 클러스터"
"FIF_GR_GI","일반 산업"
"FIF_GR_FAI","농업"
"FIF_GR_FOI","산림업"
"FIF_GR_OII","석유산업"
"FIF_GR_ORI","광업"
"FIF_GR_LC","여가 상업"
"FIF_GR_TC","관광 상업"
"FIF_SO_RETP","관련성으로 정렬. 원래 Find It과 같음"
"FIF_SO_NETP","최근 다운로드 순으로 정렬"
"FIF_SO_RE","관련성"
"FIF_SO_NE","최근 다운로드"
"TRN_CHOICE","언어 선택 (재시작 필요)"
"TRN_SYS","시스템 언어 사용"
"FIF_PROP_IND","산업"
"FIF_PROP_PAR","공원"
"FIF_PROP_COM","일반"
"FIF_PROP_RES","주거"
"FIF_PROP_BIL","간판"
"FIF_PROP_SPE","특수 간판"
"FIF_PROP_LIG","조명"
"FIF_PROP_NAT","자연"
"FIF_PROP_UNS","미분류"
"FIF_SET_KS","메인 키보드 단축키"
"FIF_SE_IGR","Grwb/RICO"
"FIF_SET_CTFL","커스텀 태그 파일 위치 (이 파일을 주기적으로 백업하십시오)"
"FIF_SET_CTFOP","파일 탐색기에서 보기"
"FIF_SE_SCTP","커스텀 태그 태널 표시"
"FIF_POP_SCR","스크롤 업/다운에 마우스 휠 사용"
"FIF_POP_CON","확인"
