"CODE","pt-br"
"NAME","Português(BR)"
"FIF_DESC","Encontre e organize seus itens"
"FIF_SET_DM","Desativar o registro de depuração de mensagens"
"FIF_SET_DMTP","Se marcada, as mensagens depuradas não serão gravadas."
"FIF_SET_CMT","Centralizar a barra de ferramentas principal"
"FIF_SET_CMTTP","A barra de ferramentas principal será centralizada se exceder um determinado comprimento."
"FIF_SET_UL","Desbloquear tudo"
"FIF_SET_ULTP","Permite selecionar e colocar itens mesmo quando bloqueados."
"FIF_SET_BP","Corrige objetos com problemas ao carregar o próximo save"
"FIF_SET_BPTP","Remove todas os objetos que estão causando problemas. Marque a opção e carregue seu save."
"FIF_SE_WF","Personalizado"
"FIF_SE_VF","Original"
"FIF_SE_IA","Tudo"
"FIF_SE_IN","Rede (estradas, cercas, etc)"
"FIF_SE_IP","Ploppable"
"FIF_SE_IG","Growable"
"FIF_SE_IR","Mod RICO"
"FIF_SE_IPR","Objetos"
"FIF_SE_ID","Decalques"
"FIF_SE_IT","Árvores"
"FIF_SE_LV","Nível da construção"
"FIF_SE_SZ","Tamanho:"
"FIF_SE_SC","Segure SHIFT ou CTRL para selecionar várias categorias"
"FIF_PLOP_E","Eletricidade"
"FIF_PLOP_W","Água/Esgoto"
"FIF_PLOP_G","Lixo"
"FIF_PLOP_H","Saúde"
"FIF_PLOP_F","Bombeiros"
"FIF_PLOP_P","Polícia"
"FIF_PLOP_ED","Educação"
"FIF_PLOP_PT","Transporte público"
"FIF_PLOP_PPW","Parques/Praças/Vida selvagem"
"FIF_PLOP_U","Construções Únicas"
"FIF_PLOP_I","Indústria"
"FIF_PLOP_D","Desastres naturais"
"FIF_PLOP_C","Campus"
"FIF_PLOP_V","Esporte Universitário"
"FIF_PLOP_FI","Pesca"
"FIF_GR_LDR","Residencial de baixa densidade"
"FIF_GR_HDR","Residencial de alta densidade"
"FIF_GR_LDRE","Residencial ECO de baixa densidade"
"FIF_GR_HDRE","Residencial ECO de alta densidade"
"FIF_GR_LDC","Comercial de baixa densidade"
"FIF_GR_HDC","Comercial de alta densidade"
"FIF_GR_CE","Comercial ECO (Orgânico)"
"FIF_GR_O","Escritórios"
"FIF_GR_ITC","Escritórios de TI"
"FIF_GR_GI","Indústria genérica"
"FIF_GR_FAI","Indústria agrícola"
"FIF_GR_FOI","Indústria florestal"
"FIF_GR_OII","Indústria petrolífera"
"FIF_GR_ORI","Indústria mineira"
"FIF_GR_LC","Comercial de lazer"
"FIF_GR_TC","Comercial de turismo"
"FIF_SO_RETP","Organizar por relevância. Igual ao 'Find It' original"
"FIF_SO_NETP","Organizar por baixado mais recente"
"FIF_SO_RE","Relevância"
"FIF_SO_NE","Baixados recentemente"
"TRN_CHOICE","Definir idioma (necessário reiniciar)"
"TRN_SYS","Use o idioma do jogo"
"FIF_PROP_IND","Industrial"
"FIF_PROP_PAR","Parques"
"FIF_PROP_COM","Comum"
"FIF_PROP_RES","Residencial"
"FIF_PROP_BIL","Outdoors"
"FIF_PROP_SPE","Outdoors especiais"
"FIF_PROP_LIG","Luzes"
"FIF_PROP_NAT","Natural"
"FIF_PROP_UNS","Não categorizados"
"FIF_SET_KS","Tecla de atalho principal"
"FIF_SE_IGR","Grwb/RICO"
"FIF_SET_CTFL","Local do arquivo de marcadores personalizadas (Lembre-se de fazer o backup deste arquivo periodicamente)"
"FIF_SET_CTFOP","Mostrar no gerenciador de arquivos"
"FIF_SE_SCTP","Mostrar o painel de marcadores personalizadas"
"FIF_POP_SCR","Use a roda do mouse para rolar pra cima/baixo"
"FIF_POP_CON","Confirmar"
"FIF_POP_CAN","Cancelar"
"FIF_POP_NU","Isto não pode ser desfeito."
"FIF_CO_TIT","Mesclar"
"FIF_CO_MSG","Escolha um marcador existente para mesclar."
"FIF_CO_CH","Escolher"
"FIF_CO_CHTP","Mesclar com este marcador existente"
"FIF_CO_CHLBL","Mesclar com: "
"FIF_CO_NELBL","Escolha um marcador existente"
"FIF_DE_TIT","Apagar"
"FIF_DE_MSG","Tem certeza que deseja apagar este marcador?"
"FIF_RE_TIT","Renomear"
"FIF_RE_MSG","Digite o nome do novo marcador e aperte Enter."
"FIF_RE_ITP","Aperte Enter para colocar um novo nome de marcador"
"FIF_RE_ELBL","Digite um novo nome do marcador"
"FIF_RE_NEWLBL","Novo nome do marcador: "
"FIF_RE_SLBL","Este nome do marcador é muito curto"
"FIF_RE_AELBL","Este marcador já existe"
"FIF_CT_TIT","Marcador Personalizado"
"FIF_CT_DDMSG","Adiciona um marcador existente para este item:"
"FIF_CT_DDTP","Adiciona um marcador existente para este item"
"FIF_CT_ILBL1","Ou"
"FIF_CT_ILBL2","Digite um novo nome de marcador e aperte Enter:"
"FIF_CT_ITP","Aperte enter para adicionar um novo marcador(es)"
"FIF_SET_CTLS","Organizar os marcadores por ordem alfabética"
"FIF_TAG_DDTP","Mostrar apenas itens com este marcador"
"FIF_TAG_REF","Atualizar"
"FIF_TAG_REFTP","Atualizar lista de marcador personalizado"
"FIF_TAG_REN","Renomear"
"FIF_TAG_RENTP","Renomear este marcador"
"FIF_TAG_COM","Mesclar"
"FIF_TAG_COMTP","Mesclar este marcador com outro marcador"
"FIF_TAG_DEL","Apagar"
"FIF_TAG_DELTP","Apagar este marcador"
"FIF_UIS_WS","Clique com o botão direito para ver este item na Oficina da Steam"
"FIF_TREE_SM","Árvores pequenas"
"FIF_TREE_MD","Árvores médias"
"FIF_TREE_LG","Árvores grandes"
"FIF_TAG_BAT","Lote"
"FIF_TAG_BAC","Voltar"
"FIF_TAG_ADD","Adicionar"
"FIF_TAG_ADDTP","Adicionar o marcador aos itens selecionados"
"FIF_TAG_REM","Remover"
"FIF_TAG_REMTP","Remover o marcador dos itens selecionados"
"FIF_TAG_CLE","Limpar"
"FIF_TAG_CLETP","Limpar seleção"
"FIF_ADD_TIT","Adicionar lote"
"FIF_ADD_NUM","Número de itens selecionados:"
