"CODE","ru"
"NAME","Русский"
"FIF_DESC","Находите и организовывайте ваши объекты"
"FIF_SET_DM","Отключить запись отладочных сообщений"
"FIF_SET_DMTP","Если отмечено, отладочные сообщения не будут записываться"
"FIF_SET_CMT","Центрировать панель инструментов"
"FIF_SET_CMTTP","Главная панель инструментов будет центрирована, если она превысит определённую длину."
"FIF_SET_UL","Разблокировать всё"
"FIF_SET_ULTP","Позволяет выбирать и размещать предметы, даже когда они заблокированы"
"FIF_SET_BP","Исправить плохие объекты при следующем сохранении"
"FIF_SET_BPTP","Удалите все реквизиты, вызывающие проблему. Отметьте эту опцию и загрузите своё сохранение"
"FIF_SE_WF","Custom"
"FIF_SE_VF","Vanilla"
"FIF_SE_IA","Все"
"FIF_SE_IN","Network"
"FIF_SE_IP","Ploppable"
"FIF_SE_IG","Growable"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","Prop"
"FIF_SE_ID","Декали"
"FIF_SE_IT","Растения"
"FIF_SE_LV","Уровень здания"
"FIF_SE_SZ","Размер: "
"FIF_SE_SC","Зажмите SHIFT или CTRL чтобы выбрать несколько категорий"
"FIF_PLOP_E","Электричество"
"FIF_PLOP_W","Вода/Канализация"
"FIF_PLOP_G","Мусор"
"FIF_PLOP_H","Здравоохранение"
"FIF_PLOP_F","Пожарная часть"
"FIF_PLOP_P","Полиция"
"FIF_PLOP_ED","Образование"
"FIF_PLOP_PT","Общественный транспорт"
"FIF_PLOP_PPW","Парк/Площадь/Живая природа"
"FIF_PLOP_U","Уникальные постройки"
"FIF_PLOP_I","Промышленность"
"FIF_PLOP_D","МЧС"
"FIF_PLOP_C","Кампус"
"FIF_PLOP_V","Университетский спорт"
"FIF_PLOP_FI","Рыбная ловля"
"FIF_GR_LDR","Жильё низ. плотности"
"FIF_GR_HDR","Жильё выс. плотности"
"FIF_GR_LDRE","Экодома низ. плотности"
"FIF_GR_HDRE","Экодома выс. плотности"
"FIF_GR_LDC","Коммерция низ. плотности"
"FIF_GR_HDC","Коммерция выс. плотности"
"FIF_GR_CE","Экокоммерция"
"FIF_GR_O","Офис"
"FIF_GR_ITC","IT-кластер"
"FIF_GR_GI","Промышленность"
"FIF_GR_FAI","Сельское хозяйство"
"FIF_GR_FOI","Лесная промышленность"
"FIF_GR_OII","Нефтяная промышленность"
"FIF_GR_ORI","Добывающая промышленность"
"FIF_GR_LC","Развлечения"
"FIF_GR_TC","Коммерческий туризм"
"FIF_SO_RETP","Сортировать по релевантности. Как в оригинальном Find It!"
"FIF_SO_NETP","Сортировать по последним загруженным"
"FIF_SO_RE","Relevance"
"FIF_SO_NE","Нов. загр."
"TRN_CHOICE","Установить язык (применится при следующей загрузке)"
"TRN_SYS","Использ. системный"
"FIF_PROP_IND","Промышленность"
"FIF_PROP_PAR","Парки"
"FIF_PROP_COM","Без специализации"
"FIF_PROP_RES","Жилые"
"FIF_PROP_BIL","Рекламные щиты"
"FIF_PROP_SPE","Спец. рекламные щиты"
"FIF_PROP_LIG","Освещение"
"FIF_PROP_NAT","Природа"
"FIF_PROP_UNS","Несортированные"
"FIF_SET_KS","Основная горячая клавиша"
"FIF_SE_IGR","Grow.RICO"
"FIF_SET_CTFL","Распол. файла пользовательских тегов. Создавайте резервные копии файла!"
"FIF_SET_CTFOP","Показать в Проводнике"
"FIF_SE_SCTP","Показать панель пользоват. тегов"
"FIF_POP_SCR","Используйте колесо мыши для прокрутки вверх/вниз"
"FIF_POP_CON","Принять"
"FIF_POP_CAN","Отмена"
"FIF_POP_NU","Это не может быть отменено."
"FIF_CO_TIT","Merge"
"FIF_CO_MSG","Выберите существ. тег для объединения."
"FIF_CO_CH","Выбрать"
"FIF_CO_CHTP","Переместить в этот тег"
"FIF_CO_CHLBL","Переместить в: "
"FIF_CO_NELBL","Пожалуйста, выберите существующий тег"
"FIF_DE_TIT","Delete"
"FIF_DE_MSG","Вы уверены, что хотите удалить этот тег?"
"FIF_RE_TIT","Rename"
"FIF_RE_MSG","Введите имя нового тега и нажмите Enter."
"FIF_RE_ITP","Нажмите Enter, чтобы изменить имя тега на новое"
"FIF_RE_ELBL","Пожалуйста, введите новое имя тега"
"FIF_RE_NEWLBL","Имя нового тега: "
"FIF_RE_SLBL","Это имя тега слишком короткое"
"FIF_RE_AELBL","Этот тег уже существует"
"FIF_CT_TIT","Пользовательские теги"
"FIF_CT_DDMSG","Добавить существ. тег в этот объект: "
