"CODE","zh-tw"
"NAME","繁體中文"
"FIF_DESC","查找和分類你的素材"
"FIF_SET_DM","禁用除錯訊息記錄"
"FIF_SET_DMTP","如果勾選, 除錯訊息將不會被記錄。"
"FIF_SET_CMT","主工具欄居中"
"FIF_SET_CMTTP","如果超過一定長度，主工具欄將居中。"
"FIF_SET_UL","解鎖全部"
"FIF_SET_ULTP","未解鎖的素材仍然可以被放置。"
"FIF_SET_BP","下次讀檔時修正錯誤的物體"
"FIF_SET_BPTP","移除所有可能導致錯誤的物體，勾選此設置然後讀取你的存檔。"
"FIF_SE_WF","玩家自製"
"FIF_SE_VF","遊戲默認"
"FIF_SE_IA","全選"
"FIF_SE_IN","道路"
"FIF_SE_IP","可放置型建築"
"FIF_SE_IG","可成長型建築"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","物體"
"FIF_SE_ID","貼花"
"FIF_SE_IT","樹木"
"FIF_SE_LV","建築等級 "
"FIF_SE_SZ","尺吋: "
"FIF_SE_SC","按住SHIFT或CTRL鍵可以選擇多個類別"
"FIF_PLOP_E","電力系統"
"FIF_PLOP_W","供水和汙水處理系統"
"FIF_PLOP_G","垃圾處理系統"
"FIF_PLOP_H","醫療保健系統"
"FIF_PLOP_F","消防系統"
"FIF_PLOP_P","警力系統"
"FIF_PLOP_ED","教育系統"
"FIF_PLOP_PT","大眾運輸系統"
"FIF_PLOP_PPW","公園和集市廣場和野生動物"
"FIF_PLOP_U","獨特建築"
"FIF_PLOP_I","工業產業園區"
"FIF_PLOP_D","災難救濟"
"FIF_PLOP_C","教育園區"
"FIF_PLOP_V","大學競技"
"FIF_PLOP_FI","漁業產業"
"FIF_GR_LDR","低密度住宅建築"
"FIF_GR_HDR","高密度住宅建築"
"FIF_GR_LDRE","低密度-專業化自給住宅行政專區建築"
"FIF_GR_HDRE","高密度-專業化自給住宅行政專區建築"
"FIF_GR_LDC","低密度商業建築"
"FIF_GR_HDC","高密度商業建築"
"FIF_GR_CE","專業化本土製造服務和有機農業行政專區建築"
"FIF_GR_O","辦公區建築"
"FIF_GR_ITC","專業化IT產業行政專區建築"
"FIF_GR_GI","一般工業區建築"
"FIF_GR_FAI","專業化農牧業行政專區建築"
"FIF_GR_FOI","專業化林業行政專區建築"
"FIF_GR_OII","專業化石化工業行政專區建築"
"FIF_GR_ORI","專業化礦業行政專區建築"
"FIF_GR_LC","專業化休閒娛樂行政專區建築"
"FIF_GR_TC","專業化觀光旅遊行政專區建築"
"FIF_SO_RETP","按關聯性排序。 與原始“Find It”相同"
"FIF_SO_NETP","按最近下載的素材排序"
"FIF_SO_RE","關聯性"
"FIF_SO_NE","最近下載"
"TRN_CHOICE","語言設置 (下次生效)"
"TRN_SYS","使用遊戲默認語言"
"FIF_PROP_IND","工業類物體"
"FIF_PROP_PAR","公園類物體"
"FIF_PROP_COM","常規類物體"
"FIF_PROP_RES","住宅類物體"
"FIF_PROP_BIL","廣告牌"
"FIF_PROP_SPE","特殊廣告牌"
"FIF_PROP_LIG","燈光類物體"
"FIF_PROP_NAT","自然類物體"
"FIF_PROP_UNS","未分類"
"FIF_SET_KS","主快捷鍵"
"FIF_SE_IGR","Grwb/RICO"
"FIF_SET_CTFL","自訂標籤存檔路徑 (請定期備份此檔案)"
"FIF_SET_CTFOP","在檔案總管中顯示"
"FIF_SE_SCTP","顯示自訂標籤面板"
"FIF_POP_SCR","使用滑鼠滾輪在清單中上下移動"
"FIF_POP_CON","確認"
"FIF_POP_CAN","取消"
"FIF_POP_NU","此操作將無法復原"
"FIF_CO_TIT","合併"
"FIF_CO_MSG","選擇現有標籤合併目標"
"FIF_CO_CH","選擇"
"FIF_CO_CHTP","與此現有標籤合併"
"FIF_CO_CHLBL","合併目標: "
"FIF_CO_NELBL","請選擇一個現有標籤"
"FIF_DE_TIT","刪除"
"FIF_DE_MSG","確定要刪除此標籤?"
"FIF_RE_TIT","更名"
"FIF_RE_MSG","輸入新標籤名稱後按Enter"
"FIF_RE_ITP","按Enter送出新標籤名稱"
"FIF_RE_ELBL","請輸入新標籤名稱"
"FIF_RE_NEWLBL","新標籤名稱: "
"FIF_RE_SLBL","新標籤名稱過短"
"FIF_RE_AELBL","該標籤名稱已存在"
"FIF_CT_TIT","自訂標籤"
"FIF_CT_DDMSG","新增現有標籤到此素材:"
"FIF_CT_DDTP","新增現有標籤到此素材"
"FIF_CT_ILBL1","或者"
"FIF_CT_ILBL2","輸入新標籤名稱後按Enter"
"FIF_CT_ITP","按Enter以增加新標籤"
"FIF_SET_CTLS","以字母順序排列自訂標籤清單"
